Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Hidden (product.metafields.seo.hidden),Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
boston-red-sox-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ87-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Boston Red Sox x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
boston-red-sox-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ87-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Boston Red Sox x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,Arizona Diamondbacks x Celebration USA 250 Anniversary Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Spbingear/extra/6d21922a32dc240ea5c34551c999ee57.png,1,Arizona Diamondbacks x Celebration USA 250 Anniversary ,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ88-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ88-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ88-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ88-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ88-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ88-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ88-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ88-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ88-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
arizona-diamondbacks-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ88-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Arizona Diamondbacks x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,Baltimore Orioles x Celebration USA 250 Anniversary Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Spbingear/extra/43c01b783b2d1235c0dc6b6987ab60c8.png,1,Baltimore Orioles x Celebration USA 250 Anniversary ,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ89-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ89-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ89-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ89-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ89-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ89-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ89-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ89-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ89-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
baltimore-orioles-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ89-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Orioles x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,Pittsburgh Pirates x Celebration USA 250 Anniversary Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Spbingear/extra/d6bde21dac920dca76a3d15be2c86fd2.png,1,Pittsburgh Pirates x Celebration USA 250 Anniversary ,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ90-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ90-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ90-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ90-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ90-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ90-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ90-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ90-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ90-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
pittsburgh-pirates-x-celebration-usa-250-anniversary-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ90-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Pittsburgh Pirates x Celebration USA 250 Anniversary ,,,,new,FALSE,,,,,,,lb,,39.95
