Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Hidden (product.metafields.seo.hidden),Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,XL,,,NT040326TT-BJ383-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,2XL,,,NT040326TT-BJ383-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,3XL,,,NT040326TT-BJ383-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,4XL,,,NT040326TT-BJ383-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,5XL,,,NT040326TT-BJ383-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,S,,,NT040326TT-BJ383-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,M,,,NT040326TT-BJ383-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,L,,,NT040326TT-BJ383-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,XL,,,NT040326TT-BJ383-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,2XL,,,NT040326TT-BJ383-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,S,,,NT040326TT-BJ383-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,M,,,NT040326TT-BJ383-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,L,,,NT040326TT-BJ383-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
st.louis-cardinals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,XL,,,NT040326TT-BJ383-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,St.Louis Cardinals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,New York Mets x Juneteenth Day Jersey,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://images.viraldes.com/wp-content/uploads/2025/05/new-york-mets-x-2025-juneteenth-day-jersey-1-Otn4H.jpg,1,New York Mets x Juneteenth Day Jersey,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,M,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,L,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,XL,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,2XL,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,3XL,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,4XL,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,5XL,,,NT040326TT-BJ384-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,S,,,NT040326TT-BJ384-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,M,,,NT040326TT-BJ384-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,L,,,NT040326TT-BJ384-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,XL,,,NT040326TT-BJ384-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,2XL,,,NT040326TT-BJ384-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,S,,,NT040326TT-BJ384-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,M,,,NT040326TT-BJ384-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,L,,,NT040326TT-BJ384-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
new-york-mets-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,XL,,,NT040326TT-BJ384-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Mets x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,Kansas City Royals x Juneteenth Day Jersey,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://images.viraldes.com/wp-content/uploads/2025/05/kansas-city-royals-x-2025-juneteenth-day-jersey-1-cscTP.jpg,1,Kansas City Royals x Juneteenth Day Jersey,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,M,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,L,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,XL,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,2XL,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,3XL,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,4XL,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,5XL,,,NT040326TT-BJ385-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,S,,,NT040326TT-BJ385-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,M,,,NT040326TT-BJ385-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,L,,,NT040326TT-BJ385-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,XL,,,NT040326TT-BJ385-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,2XL,,,NT040326TT-BJ385-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,S,,,NT040326TT-BJ385-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,M,,,NT040326TT-BJ385-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,L,,,NT040326TT-BJ385-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
kansas-city-royals-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,XL,,,NT040326TT-BJ385-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Kansas City Royals x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,Philadelphia Phillies x Juneteenth Day Jersey,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://images.viraldes.com/wp-content/uploads/2025/05/philadelphia-phillies-x-2025-juneteenth-day-jersey-1-7PysI.jpg,1,Philadelphia Phillies x Juneteenth Day Jersey,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,M,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,L,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,XL,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,2XL,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,3XL,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,4XL,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Men,,5XL,,,NT040326TT-BJ386-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,S,,,NT040326TT-BJ386-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,M,,,NT040326TT-BJ386-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,L,,,NT040326TT-BJ386-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,XL,,,NT040326TT-BJ386-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Women,,2XL,,,NT040326TT-BJ386-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,S,,,NT040326TT-BJ386-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,M,,,NT040326TT-BJ386-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,L,,,NT040326TT-BJ386-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
philadelphia-phillies-x-2025-juneteenth-day-jersey--viraldes-store,,,,,,,,,Youth,,XL,,,NT040326TT-BJ386-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Philadelphia Phillies x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,39.95
miami-marlins-x-2025-juneteenth-day-jersey--viraldes-store,Miami Marlins x Juneteenth Day Jersey,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT040326TT-BJ387-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://images.viraldes.com/wp-content/uploads/2025/05/miami-marlins-x-2025-juneteenth-day-jersey-1-YUQDW.jpg,1,Miami Marlins x Juneteenth Day Jersey,FALSE,,Adult,Unisex,,Miami Marlins x Juneteenth Day Jersey,,,,new,FALSE,,,,,,,lb,,
